"session_id","sex","age","citizenship","referrer","us_or_international","lab_or_online","anchor","everest_feet","everest_meters"
2400853,"f",18,"US","abington","US","In-lab","high",30000,NA
2400856,"f",19,"CN","abington","US","In-lab","high",30000,NA
2400860,"f",18,"US","abington","US","In-lab","low",5000,NA
2400868,"m",18,"US","abington","US","In-lab","low",2400,NA
2400914,"f",18,"US","abington","US","In-lab","low",10000,NA
2400916,"f",18,"US","abington","US","In-lab","high",25000,NA
2400925,"m",19,"US","abington","US","In-lab","high",43300,NA
2407192,"f",21,"US","abington","US","In-lab","high",45000,NA
2407222,"f",18,"US","abington","US","In-lab","low",5000,NA
2407225,"f",18,"IN","abington","US","In-lab","high",45000,NA
2407227,"f",18,"US","abington","US","In-lab","high",35000,NA
2407268,"f",18,"US","abington","US","In-lab","high",20000,NA
2407271,"f",18,"UA","abington","US","In-lab","low",20000,NA
2407288,"f",19,"PR","abington","US","In-lab","high",35000,NA
2407289,"f",31,"HT","abington","US","In-lab","high",45300,NA
2407367,"f",18,"US","abington","US","In-lab","low",7050,NA
2407368,"f",23,"US","abington","US","In-lab","high",45000,NA
2407369,"f",18,"US","abington","US","In-lab","high",37000,NA
2407370,"f",19,"US","abington","US","In-lab","low",4000,NA
2407395,"m",20,"US","abington","US","In-lab","high",42000,NA
2407404,"f",20,"US","abington","US","In-lab","low",7000,NA
2407405,"f",20,"US","abington","US","In-lab","high",30432,NA
2407407,"f",19,"US","abington","US","In-lab","low",8000,NA
2407412,"m",20,"US","abington","US","In-lab","high",37000,NA
2407864,"m",18,"US","abington","US","In-lab","high",25000,NA
2407866,"m",19,"US","abington","US","In-lab","high",40000,NA
2407983,"f",20,"US","abington","US","In-lab","high",40000,NA
2408017,"f",18,"US","abington","US","In-lab","low",3000,NA
2408033,"m",20,"US","abington","US","In-lab","high",40000,NA
2408059,"m",19,"US","abington","US","In-lab","low",5000,NA
2408084,"m",18,"US","abington","US","In-lab","high",5000,NA
2409135,"f",19,"US","abington","US","In-lab","low",5000,NA
2409137,"f",19,"US","abington","US","In-lab","low",10000,NA
2409138,"f",19,"US","abington","US","In-lab","low",15000,NA
2409144,"m",18,"US","abington","US","In-lab","low",2595,NA
2409145,"m",19,"US","abington","US","In-lab","high",32000,NA
2409147,"f",20,"US","abington","US","In-lab","low",3500,NA
2409150,"m",18,"US","abington","US","In-lab","low",4500,NA
2409204,"m",22,"RU","abington","US","In-lab","high",13000,NA
2409209,"m",26,"US","abington","US","In-lab","high",31000,NA
2409214,"f",18,"US","abington","US","In-lab","high",40000,NA
2409217,"f",20,"US","abington","US","In-lab","high",30000,NA
2409255,"f",19,"US","abington","US","In-lab","low",2156,NA
2409256,"f",18,"US","abington","US","In-lab","low",4000,NA
2409259,"f",18,"US","abington","US","In-lab","low",2100,NA
2409260,"f",18,"US","abington","US","In-lab","low",3400,NA
2409264,"m",19,"US","abington","US","In-lab","high",30000,NA
2409552,"f",20,"US","abington","US","In-lab","low",2336,NA
2409555,"f",18,"US","abington","US","In-lab","high",39000,NA
2409603,"f",18,"US","abington","US","In-lab","high",30500,NA
2409605,"f",18,"US","abington","US","In-lab","low",40000,NA
2409607,"f",21,"JP","abington","US","In-lab","low",5000,NA
2410995,"f",18,"US","abington","US","In-lab","high",42500,NA
2410997,"m",20,"US","abington","US","In-lab","high",38000,NA
2411137,"f",18,"US","abington","US","In-lab","low",35000,NA
2411191,"f",19,"US","abington","US","In-lab","high",45000,NA
2411192,"f",19,"US","abington","US","In-lab","low",3000,NA
2411195,"f",20,"US","abington","US","In-lab","high",25000,NA
2411199,"f",24,"US","abington","US","In-lab","high",40000,NA
2411202,"f",18,"US","abington","US","In-lab","low",3000,NA
2411204,"f",18,"US","abington","US","In-lab","low",30000,NA
2411205,"f",18,"US","abington","US","In-lab","low",5000,NA
2411301,"f",18,"MO","abington","US","In-lab","low",5000,NA
2411308,"m",18,"US","abington","US","In-lab","low",7000,NA
2411379,"f",22,"US","abington","US","In-lab","high",45000,NA
2411382,"f",19,"US","abington","US","In-lab","high",40000,NA
2411384,"f",22,"US","abington","US","In-lab","high",37000,NA
2411385,"m",20,"IN","abington","US","In-lab","high",8000,NA
2411395,"f",23,"US","abington","US","In-lab","low",2300,NA
2411401,"f",19,"US","abington","US","In-lab","low",3500,NA
2411402,"m",26,"US","abington","US","In-lab","high",45300,NA
2411443,"f",18,"US","abington","US","In-lab","low",20000,NA
2411445,"f",19,"US","abington","US","In-lab","low",2500,NA
2401246,"f",22,"BR","brasilia","International","In-lab","high",39369.6,12000
2401249,"f",21,"BR","brasilia","International","In-lab","low",9842.4,3000
2401251,"m",24,"BR","brasilia","International","In-lab","high",41010,12500
2401252,"f",19,"BR","brasilia","International","In-lab","low",3936.96,1200
2401255,"m",24,"BR","brasilia","International","In-lab","low",26246.4,8000
2401257,"m",18,"BR","brasilia","International","In-lab","low",2854.296,870
2401259,"f",20,"BR","brasilia","International","In-lab","high",3936.96,1200
2401308,"m",20,"BR","brasilia","International","In-lab","high",22965.6,7000
2401316,"f",17,"BR","brasilia","International","In-lab","low",2624.64,800
2401319,"m",17,"BR","brasilia","International","In-lab","low",4593.12,1400
2401320,"m",23,"BR","brasilia","International","In-lab","high",45275.04,13800
2401328,"m",17,"BR","brasilia","International","In-lab","high",26246.4,8000
2401329,"f",18,"BR","brasilia","International","In-lab","high",39369.6,12000
2401335,"m",32,"BR","brasilia","International","In-lab","high",29199.12,8900
2401343,"m",21,"BR","brasilia","International","In-lab","low",39369.6,12000
2401352,"f",18,"BR","brasilia","International","In-lab","high",29199.12,8900
2401368,"f",19,"BR","brasilia","International","In-lab","low",3280.8,1000
2401371,"m",20,"BR","brasilia","International","In-lab","high",39369.6,12000
2401380,"m",20,"BR","brasilia","International","In-lab","low",5577.36,1700
2401382,"m",17,"BR","brasilia","International","In-lab","low",2296.56,700
2401385,"m",18,"BR","brasilia","International","In-lab","high",39369.6,12000
2401388,"f",18,"BR","brasilia","International","In-lab","low",3280.8,1000
2401398,"m",19,"BR","brasilia","International","In-lab","low",2624.64,800
2401399,"m",18,"BR","brasilia","International","In-lab","low",3936.96,1200
2401402,"f",17,"BR","brasilia","International","In-lab","high",41010,12500
2401405,"f",18,"BR","brasilia","International","In-lab","low",3936.96,1200
2401417,"f",19,"BR","brasilia","International","In-lab","low",2624.64,800
2401462,"m",19,"BR","brasilia","International","In-lab","low",3936.96,1200
2401463,"f",19,"BR","brasilia","International","In-lab","low",3280.8,1000
2401464,"m",24,"BR","brasilia","International","In-lab","high",29527.2,9000
2401466,"f",19,"BR","brasilia","International","In-lab","low",6561.6,2000
2401472,"m",21,"BR","brasilia","International","In-lab","low",16404,5000
2401476,"f",19,"BR","brasilia","International","In-lab","high",39369.6,12000
2401485,"f",22,"BR","brasilia","International","In-lab","high",45471.888,13860
2401489,"f",20,"BR","brasilia","International","In-lab","low",3936.96,1200
2401490,"m",22,"BR","brasilia","International","In-lab","high",29199.12,8900
2401495,"f",22,"BR","brasilia","International","In-lab","high",29527.2,9000
2406260,"m",21,"BR","brasilia","International","In-lab","high",44290.8,13500
2422422,"f",18,"BR","brasilia","International","In-lab","high",26246.4,8000
2422639,"m",19,"BR","brasilia","International","In-lab","low",13123.2,4000
2426482,"m",21,"BR","brasilia","International","In-lab","high",26246.4,8000
2428937,"f",26,"BR","brasilia","International","In-lab","low",5905.44,1800
2429105,"f",20,"BR","brasilia","International","In-lab","high",39369.6,12000
2429257,"f",19,"BR","brasilia","International","In-lab","low",8202,2500
2442313,"m",22,"BR","brasilia","International","In-lab","high",45357.06,13825
2442618,"f",19,"BR","brasilia","International","In-lab","low",3280.8,1000
2442751,"f",23,"BR","brasilia","International","In-lab","high",42650.4,13000
2445814,"f",20,"BR","brasilia","International","In-lab","low",26246.4,8000
2446096,"m",18,"BR","brasilia","International","In-lab","low",2673.852,815
2451802,"m",19,"BR","brasilia","International","In-lab","high",32808,10000
2452326,"m",19,"BR","brasilia","International","In-lab","high",29527.2,9000
2453867,"m",27,"BR","brasilia","International","In-lab","low",11482.8,3500
2457082,"m",19,"BR","brasilia","International","In-lab","low",2066.904,630
2457236,"m",19,"BR","brasilia","International","In-lab","high",26246.4,8000
2458747,"f",20,"BR","brasilia","International","In-lab","low",2952.72,900
2458796,"m",19,"BR","brasilia","International","In-lab","high",29172.8736,8892
2458919,"f",24,"BR","brasilia","International","In-lab","low",3280.8,1000
2462035,"f",21,"BR","brasilia","International","In-lab","high",32808,10000
2465905,"m",19,"BR","brasilia","International","In-lab","low",4265.04,1300
2466041,"m",21,"BR","brasilia","International","In-lab","low",3280.8,1000
2466133,"m",22,"BR","brasilia","International","In-lab","high",42322.32,12900
2467639,"f",20,"BR","brasilia","International","In-lab","low",3280.8,1000
2467777,"m",23,"BR","brasilia","International","In-lab","low",16404,5000
2467949,"f",19,"BR","brasilia","International","In-lab","low",19684.8,6000
