"nr","team","matches_played","goals_for","goals_scored","goals_against","penalty_goal","own_goals_for","yellow_cards","indirect_red_cards","direct_red_cards"
1,"Germany ",7,16,16,5,0,0,13,0,0
2,"Netherlands ",7,12,11,6,0,0,24,0,0
3,"Uruguay ",7,11,11,8,1,0,11,0,1
4,"Argentina ",5,10,9,6,0,0,7,0,0
5,"Brazil ",5,9,9,4,0,0,9,0,1
6,"Spain ",7,8,8,2,0,0,8,0,0
7,"Portugal ",4,7,7,1,0,0,8,0,1
8,"Korea Republic ",4,6,6,8,0,0,6,0,0
9,"USA ",4,5,5,5,1,0,9,0,0
10,"Slovakia ",4,5,5,7,1,0,11,0,0
11,"Ghana ",5,5,5,4,2,0,11,0,0
12,"Côte d'Ivoire ",3,4,4,3,0,0,5,0,0
13,"Italy ",3,4,4,5,1,0,5,0,0
14,"Japan ",4,4,4,2,0,0,7,0,0
15,"Mexico ",4,4,4,5,1,0,9,0,0
16,"Slovenia ",3,3,3,3,0,0,9,0,0
17,"Nigeria ",3,3,3,5,1,0,5,0,1
18,"South Africa ",3,3,3,5,0,0,4,0,1
19,"Australia ",3,3,3,6,0,0,7,0,2
20,"Denmark ",3,3,3,6,0,0,6,0,0
21,"Chile ",4,3,3,5,0,0,15,0,0
22,"England ",4,3,3,5,0,0,6,0,0
23,"Paraguay ",5,3,3,2,0,0,9,0,0
24,"New Zealand ",3,2,2,2,0,0,6,0,0
25,"Serbia ",3,2,2,3,0,0,10,0,0
26,"Cameroon ",3,2,2,5,1,0,5,0,0
27,"Greece ",3,2,2,5,0,0,5,0,0
28,"Switzerland ",3,1,1,1,0,0,8,0,1
29,"France ",3,1,1,4,0,0,6,0,1
30,"Korea DPR ",3,1,1,12,0,0,2,0,0
31,"Algeria ",3,0,0,2,0,0,8,0,0
32,"Honduras ",3,0,0,3,0,0,7,0,0
