"id","sex","age","legacy","belief","intention","education","income","donation"
2,"male",23,4.38,5.4,3.57,5,5,0
3,"female",59,4.75,5.2,2.43,5,6,0
4,"male",30,5,5.2,2.43,5,3,1
5,"female",25,2.88,5,2,4,3,0
6,"female",32,4.88,4.4,2.57,2,1,0
7,"male",38,5.12,4.6,3.71,3,2,7
8,"female",48,4.38,5.8,4.43,6,6,10
9,"male",40,4.12,4.6,1.86,6,5,5
10,"male",22,5.5,4,1.86,4,5,1
11,"male",37,2.88,4.4,2.43,4,1,0
12,"female",NA,5,5.8,3.71,4,2,5
13,"male",26,1.38,4.6,1,3,2,0
14,"female",35,4,5.2,3.29,5,2,2
15,"male",63,2.5,3.6,1.43,5,1,0
16,"male",38,5.5,5,4.57,5,4,5
17,"male",50,5.38,5.8,4.43,5,3,0
18,"male",56,4,5.4,3.29,4,1,1
19,"male",30,4.12,4.6,3,5,2,0
20,"female",67,3.12,5.6,2.86,5,6,5
21,"female",56,5,5.8,4.14,5,2,0
22,"female",NA,6,4.6,2.29,3,5,0
23,"male",39,4.25,3.8,1.71,5,3,2
24,"male",NA,4.38,3.4,2.86,5,1,0
25,"female",47,5.75,2.2,1,6,1,0
26,"male",41,4.5,5.6,3,5,6,0
27,"female",44,4.12,4.8,3.43,5,4,10
28,"male",29,1.88,5.6,2.86,5,1,3
29,"male",43,4.25,5.2,3.57,4,4,2.5
30,"female",22,4.38,5.4,4.43,3,3,2
31,"female",24,2.62,4.6,2,3,3,0
32,"male",34,5.25,5.6,4.14,5,3,5
33,"female",47,2.62,5.6,3.57,6,1,5
34,"female",27,4.88,5.2,3,5,5,7
35,"male",45,5.5,3.6,1.71,5,5,0
36,"male",27,3.38,5,3.14,5,1,5
37,"male",26,5.38,5.2,3.14,6,1,3
38,"male",28,2.62,4,1.29,2,3,0
39,"female",35,3.5,5.2,1.43,4,3,0
40,"male",51,3.5,3.4,1,3,2,0
41,"male",27,4.75,4.8,3,5,5,2
42,"female",34,3.12,5,2.86,4,2,1
43,"female",33,4,4.6,2.57,3,1,2
44,"female",36,5.62,5.8,2.43,4,4,10
45,"male",24,4.12,4.2,3,3,4,0
46,"male",55,2.88,2.8,1.57,3,2,0
47,"male",22,3.75,4.6,2.14,4,5,0
48,"female",48,4.25,3.4,2.86,3,2,5
49,"male",32,4.38,4.4,1.29,5,3,0
50,"male",NA,3.5,4.6,3.14,3,1,0
51,"female",26,4.88,3.2,1,5,2,0
52,"female",43,5.5,5.2,1.43,5,5,5
53,"male",24,2.75,4.6,1.86,4,4,2
54,"male",25,2.88,4.8,1.86,5,1,0
55,"male",31,4.38,4.4,1.43,4,4,5
56,"female",33,4.88,6.2,3.71,5,4,5
57,"male",39,3.38,5.6,2.86,5,1,2
58,"male",57,3,5,3.14,4,3,3
59,"male",NA,2.75,4.4,1.86,5,1,1
60,"male",37,2.88,4.8,2.57,6,3,0
61,"female",39,2.88,4.8,3.29,5,1,1
62,"male",46,4.12,5.2,3.57,5,3,1
63,"male",40,2,3.8,2,2,2,0
64,"female",51,4,5,3.57,4,4,5
65,"male",25,4.12,5.8,4.43,4,1,2
66,"female",42,4.25,5.2,2.86,4,3,5
67,"male",52,2.25,2.8,1,3,1,0
69,"male",51,4.12,5.6,2.14,5,4,0
71,"male",45,4.62,4.4,3,4,3,1
72,"female",28,2.88,4.6,1.29,4,1,3
73,"male",25,3.62,5.4,2.86,4,1,1
74,"female",49,4,3.2,1,3,2,0
75,"female",32,3.62,5.4,3.86,5,3,2
76,"male",54,2.12,5,3.57,5,1,0
77,"male",NA,3.38,3.6,2.29,4,2,5
78,"male",48,4.12,5,2.71,5,5,0
79,"male",30,4.62,4.4,2.43,6,4,0
80,"male",NA,3.25,4.2,1.57,4,1,0
81,"female",34,4.5,5.6,3.29,3,2,8
82,"female",51,4.38,5.4,3,5,1,0
83,"male",48,3.88,5.4,3.14,4,3,1
84,"female",35,4.25,4.8,3.29,6,1,0
85,"female",31,4.5,5.8,4.86,6,4,0
86,"male",51,3,5.6,3.57,4,2,0
87,"female",24,4.75,5.8,4.71,4,2,5
88,"male",32,4.75,5.6,3.86,4,2,10
89,"male",49,4.5,5,3,5,1,0
91,"female",31,5.38,5.4,3.43,5,2,7
92,"female",54,5,5.6,3.71,4,3,0
93,"male",55,3.12,5.2,2.29,3,3,6
94,"male",31,5.38,6,3.43,5,1,5
95,"male",21,4,5.8,3.29,5,4,0
96,"female",29,4.38,5.4,3.71,6,3,10
97,"female",69,4.38,5,2.57,5,3,0
98,"male",47,2.62,4.6,2.43,4,2,0
99,"female",40,4.25,4,3,4,2,5
100,"female",27,4.38,4.8,3,5,5,0
101,"female",30,4.62,5.2,3.71,6,4,2
102,"male",39,4.75,5.4,3.57,4,1,5
103,"male",35,4,5.4,3.29,4,6,5
104,"male",41,3,6,3.43,5,3,5
105,"female",29,4.62,5,4.29,5,3,10
106,"male",29,5.25,5.4,2.71,5,1,5
108,"male",62,4.62,5.6,4.14,4,6,8
109,"female",31,4.88,5.6,3.43,5,5,5
110,"female",29,4.75,2.8,1,4,2,5
111,"female",22,5.62,5.4,4.43,4,1,5
112,"female",47,5,5.4,3.71,6,3,0
113,"male",27,4.88,5.4,2.29,4,2,2
114,"female",NA,4.12,4.4,3.43,4,1,0
115,"female",35,3,4.4,2.14,3,3,5
116,"male",33,4.88,3.8,1.14,3,2,0
117,"female",54,5.62,6.8,3.86,5,3,3
118,"male",66,2.5,4.8,2.86,5,3,1
119,"female",55,5.62,5.6,3.86,3,2,5
120,"female",28,4.38,4.8,2.29,5,4,0
121,"female",56,3.5,5.6,2.86,3,3,1
122,"female",76,5.25,5,2.71,4,1,5
123,"female",28,5,5.6,3.14,5,4,4
124,"female",26,4.88,4,2.86,4,2,0
125,"female",NA,4.12,4.6,3.29,3,3,5
126,"female",42,5,5.4,3.86,5,4,10
127,"female",34,5,5.4,3.86,3,1,2
128,"female",33,4.88,5.6,3.29,6,5,10
129,"male",28,2.75,4.2,3.43,6,1,0
130,"male",38,2.38,4,2.43,5,6,1
131,"male",22,5.12,5,2,3,3,0
132,"male",32,3.88,5.6,1.43,6,2,10
133,"male",40,4.25,5.6,3,4,2,0
134,"female",31,3.5,5.4,3.29,5,4,5
135,"male",30,5.38,5.8,3.14,5,3,2
136,"male",38,2.62,5.2,3.14,4,4,5
137,"female",33,4.25,5.4,1.29,6,4,0
138,"female",39,3.25,5,2.71,5,2,8
139,"male",51,3.75,4.6,3,5,5,5
140,"male",NA,4.25,5,3.29,5,2,0
141,"female",55,3.75,5.2,3.14,4,5,3
142,"female",44,2.12,4.2,1,4,5,0
143,"female",49,4.5,5.2,3.29,6,2,10
144,"female",29,4.62,5.4,3,5,4,0
