"id","gender","age","income","pol_att","PD_mean","PD_gini","PD_fair","PD_sat","SC_mean","SC_gini","redist"
233,"female",40,NA,5,29715,38.7829379101464,9,9,21150,28.0567375886525,5.5
157,"female",59,0.02,5,123630,37.2145110410095,5,8,65355,24.3233876520542,3.25
275,"female",41,0.1,5,60000,20.75,5,5,107100,14.4425770308123,3.75
111,"female",59,0.15,8,59355,35.3795804902704,3,3,86640,26.9259002770083,2.75
52,"male",35,0.5,5,15360,16.875,6,5,56850,21.401055408971,3
11,"female",34,0.6,3,57600,40.9244791666667,9,6,59835,37.0882426673352,3.75
76,"female",36,0.6,4,80745,35.7271038454393,7,7,61395,23.6694356217933,4.25
90,"female",39,0.6,3,79515,36.5702697604226,5,6,52500,7.14285714285707,3.5
93,"female",40,0.6,2,39885,44.7781120722076,5,7,35850,49.3891213389122,3.75
104,"male",31,0.68,3,58650,31.7237851662404,6,5,61770,30.9116075764935,3.5
26,NA,53,1,NA,46860,51.4852752880922,5,6,103725,35.4034707158351,4.75
259,"male",19,1,4,14205,14.2629355860612,6,5,18975,21.7667984189723,3
255,"male",27,1.1,5,29415,32.3350331463539,9,9,17610,26.4480408858603,5.25
176,"female",49,1.2,3,58275,47.7078507078507,7,7,22800,29.5,5.25
51,"female",64,1.4,5,61365,26.7780493766805,8,7,82110,25.5443916697114,4
92,"male",47,1.6,3,44790,42.2618888144675,7,9,60150,46.8279301745636,3.5
18,"female",34,2,9,32370,25.4652455977757,5,5,52500,33.2714285714286,3.5
122,"female",28,3.8,5,46950,18.111821086262,5,5,45975,30.2039151712887,3
206,"female",26,4,2,65970,34.7098681218736,8,8,40470,33.1297257227576,5
294,"female",34,4,7,40200,19.4477611940298,7,7,43500,20.5379310344828,3.75
123,"female",24,4.2,8,74745,20.6921533212924,1,1,44850,38.6588628762542,2.25
83,"male",30,5,5,43485,36.20041393584,5,6,44940,30.8291054739653,4
156,"female",36,5,5,47175,33.0158982511924,5,3,60225,33.0323785803238,2.5
220,"female",56,5.29999,3,49890,19.3998797354179,7,7,48000,12.3125,5.25
185,"male",33,5.583,5,77460,34.1440743609605,7,7,84825,17.7922192749779,4.5
48,"male",57,6,5,51690,51.5130586186883,9,9,52560,40.5964611872146,5
75,"female",31,6,6,75405,33.4945295404814,9,9,101820,36.7595757218621,2
81,"female",44,6,7,71130,27.1851539434838,5,5,76095,23.341021092056,2.75
114,"female",59,6,3,61785,35.1238164603059,8,9,32895,30.7838577291382,4.25
243,"male",42,7.5,3,53175,35.8293370944993,9,9,25800,32.406976744186,4.5
15,"female",53,9,7,58650,48.2097186700767,5,3,29595,18.5600608210846,2.75
229,"female",27,9,3,25440,42.9563679245283,9,7,18120,27.6688741721854,3.75
258,"male",42,9.2,5,47205,36.3511280584684,7,8,22980,25.1187989556136,4.75
237,"male",30,10,2,56970,37.1074249605055,9,9,30750,43.7073170731707,4.5
268,"male",24,10.1,2,47250,42.5015873015873,7,7,17745,27.7590870667794,3.5
67,"male",55,10.5,2,56415,42.4060090401489,9,9,22050,16.7006802721088,5.75
124,"male",25,12,1,51840,46.8269675925926,7,7,25545,37.5918966529654,5
230,"female",64,12,7,40590,43.7154471544716,5,5,36375,43.1237113402062,2.75
238,"male",41,12,5,42435,45.4029692470838,9,9,37755,39.0174811283274,3.25
266,"male",43,12,2,52050,37.5706051873199,9,9,57060,26.2302839116719,5.25
4,"female",28,15,8,40635,38.7836840162421,5,5,21150,19.9148936170213,1.75
50,"female",50,15,3,36615,47.2261368291684,7,7,40425,21.8423005565863,4.5
99,"female",27,15,5,43740,41.9869684499314,9,9,21300,25.8450704225352,4.25
151,"female",30,15,1,53550,42.4929971988796,9,9,22425,26.4448160535117,5.75
68,"male",62,16,9,63315,31.5941719971571,7,5,50970,42.8705120659211,2.5
108,"male",29,16,5,46650,36.491961414791,9,9,14100,13.9148936170213,4
174,"male",47,16,2,65895,38.8365581607102,9,9,53550,55.8655462184874,6
295,"male",33,17,2,39495,57.4549943030763,9,9,52500,61.3571428571429,6
145,"male",41,18,6,71475,32.9181532004197,9,9,29400,31.1836734693878,3.75
165,"female",25,18,3,52515,38.0231362467866,7,7,35700,33.7689075630252,3.5
209,"female",64,18,2,60750,34.8074074074074,9,9,16305,22.0395584176633,5.75
221,"male",46,18,8,54060,36.8895671476138,5,5,66375,41.3841807909605,2
77,"male",52,19,5,57270,34.1629125196438,7,8,23700,40.7848101265823,3.5
131,"female",41,19,5,22350,22.6040268456376,9,9,26250,38.2857142857143,6
213,"female",41,19,2,53250,43.169014084507,9,9,34620,44.6551126516465,6
37,"female",30,20,3,46875,39.8608,5,6,31245,35.0643302928468,5.25
128,"male",25,20,6,56625,31.6569536423841,7,7,57855,29.6492092299715,4
134,"female",30,20,5,58200,29.2345360824742,7,7,29190,25.1819116135663,3
161,"female",28,20,3,54885,42.1522273845313,6,7,17460,17.0103092783505,4
225,"male",29,20,2,54210,35.0857775318207,9,9,40200,25.6492537313433,5.25
247,"male",28,20,4,107265,25.5067822682142,7,7,76155,41.7898365176285,3.5
300,"female",55,20,2,88050,42.1056218057922,7,8,47700,20.0754716981132,5
1,"male",37,21,2,48975,35.2633996937213,8,8,40005,28.1466066741657,3.75
19,"male",28,21,3,66150,39.1383219954648,8,7,40110,24.2819745699327,4.5
23,"male",32,21,8,64515,38.3210881190421,3,3,24480,26.3431372549019,2.5
41,"female",53,21,NA,57000,41.8578947368421,9,7,59220,38.9650455927052,4
72,"male",28,21,2,69090,29.4211897524967,7,7,43500,26.8275862068966,5.5
115,"male",27,21,5,67230,42.8049977688532,6,7,30615,32.3561979421852,4.75
87,"female",29,22,3,45435,40.6652360515022,6,4,24705,31.3339404978749,4.75
222,"female",61,22,3,44670,40.4714573539288,7,7,71850,22.0062630480167,3.75
154,"female",56,23,4,48450,46.8885448916409,9,9,56700,47.978835978836,4.25
24,"female",25,24,5,26220,43.0800915331808,9,9,23400,19.4358974358974,6
57,"male",25,24,5,49950,39.5255255255255,6,6,24600,37.5060975609756,2.25
97,"female",42,24,4,46050,43.7785016286645,9,9,30900,27.3398058252427,6
169,"male",25,24,5,47415,39.3416640303701,8,8,19200,19.671875,5
245,"male",25,24,5,64725,44.4252607184241,7,6,51960,41.9515011547344,3.75
53,"female",44,25,3,79950,33.8348968105066,9,9,96390,29.5384375972611,6
61,"female",44,25,1,50775,39.2776957163959,9,9,58440,45.1088295687885,4.75
71,"female",52,25,9,28650,27.1047120418848,7,7,32400,14.5925925925926,3
110,"male",25,25,4,55590,45.5542363734485,8,7,30975,21.7699757869249,4.25
117,"female",24,25,5,50250,41.6,5,5,40875,24.6366972477064,3.25
132,"female",54,25,3,55425,40.1231393775372,9,9,33750,40.8533333333333,5.25
190,"male",31,25,2,50295,47.7241276468834,7,7,32655,13.4712907671107,4.75
207,"male",23,25,3,42825,36.0788091068301,9,9,17250,17.2173913043478,4.5
251,"female",32,25,3,36825,29.5091649694501,6,3,45105,39.1842367808447,5
269,"male",25,25,3,58050,49.9457364341085,9,9,21300,25.0985915492958,5.25
276,"female",34,25,5,31050,16.1739130434783,3,3,28350,22.4761904761905,5
282,"male",35,25,5,84900,44.7349823321555,6,5,46200,47.0649350649351,2.75
304,"male",23,25,7,46620,40.7252252252252,9,8,19530,17.0138248847926,4.5
74,"female",26,26,5,41565,38.2241068206424,9,9,25980,27.9284064665127,5.25
103,"male",36,26,4,43500,36.7586206896552,9,9,25050,27.6766467065868,4.25
129,"male",26,26,4,49365,37.4898207231844,8,7,90825,16.8761354252683,3.75
21,"male",50,28,3,62925,45.7723480333731,7,7,36000,23.25,5
179,"male",49,28,2,45240,27.289124668435,7,7,37860,31.7393026941363,5.25
186,"male",27,28,2,77505,31.280627056319,6,6,45960,25.0587467362924,3.75
298,"male",30,28,4,44460,41.417004048583,9,9,33840,43.6719858156028,4.5
305,"male",49,29,5,50565,35.8288341738356,6,6,47805,27.4982742390963,2.25
31,"female",51,30,1,138645,24.9095531753759,9,9,45690,21.1864740643467,4.75
32,"male",26,30,7,70770,33.3370072064434,3,6,64200,33.588785046729,1.75
44,"female",30,30,1,81195,24.4225013855533,5,5,65550,12.0022883295194,2.75
107,"male",27,30,3,78480,29.8321865443425,6,6,69750,16.8924731182796,3.5
125,NA,42,30,5,64110,35.8399625643425,5,5,45405,35.1096795507103,3.5
138,"male",27,30,5,45105,24.2790156301962,6,6,34980,8.3156089193825,4
146,"female",38,30,5,70290,20.145966709347,8,8,29310,17.4257932446264,4.5
187,"female",30,30,1,35400,27.9322033898305,5,5,55170,40.9825992387167,5.25
246,"male",22,30,5,59790,43.6161565479177,5,7,78570,41.0488736158839,3.25
277,"female",29,30,1,58695,41.6506516739075,7,7,39000,19.3076923076923,4.75
302,"male",40,30,5,48180,29.6986301369863,7,8,59850,31.5288220551378,4.75
60,"male",33,31,3,60945,32.6726556731479,6,6,53100,35.3559322033898,5
65,"male",26,32,7,78075,23.1440922190202,9,9,67095,26.1634249944109,4
182,"female",32,32,5,46065,26.7694562031911,7,6,22575,25.0398671096346,5
39,"male",28,35,1,66285,40.6777551482236,7,7,33225,31.0496613995485,4.75
88,"male",29,35,6,42240,33.7230113636364,4,6,27750,21.5621621621622,4.25
118,"female",29,35,3,97530,29.3005229160258,7,6,49950,14.2972972972973,4
119,"female",32,35,9,43725,38.451114922813,9,9,37950,24.6482213438735,6
136,"female",35,35,1,67875,46.4983425414365,9,9,42225,12.854351687389,5.75
200,"male",38,35,4,49395,43.5800182204677,9,9,25740,22.5839160839161,5.75
287,"female",27,35,1,77085,30.5477719400662,7,8,43800,32.2020547945205,4.75
257,"male",48,36,6,64185,40.0362234166861,7,6,38400,34.6953125,4
33,"male",69,37,6,58710,26.7986714358712,2,2,94725,32.895486935867,1
130,"male",39,37,1,73530,31.6262749898001,9,9,75825,36.1829871414441,4.75
293,"female",25,37,9,40305,35.3952363230368,8,7,40575,33.9500924214418,1.5
43,"female",53,38,3,59130,42.7884322678843,6,7,60450,16.6625310173697,4.75
113,"female",32,38,3,46380,32.8014230271669,7,7,36645,20.2329103561195,4.75
135,"male",28,38,3,69960,56.1749571183533,6,6,25200,10.7857142857143,3.75
178,"female",26,38,1,66015,36.4278573051579,8,8,45495,39.4919221892516,4.25
29,"female",25,39,3,64560,29.4516728624535,3,7,47400,23.2278481012658,4.5
5,"male",58,40,8,71565,30.1548941521693,5,5,54075,40.3980582524272,2.75
20,"female",52,40,2,65520,43.4097985347985,9,9,139860,28.5982410982411,6
56,"male",60,40,4,55395,35.9379907933929,9,9,41580,30.7438672438672,4.75
63,"male",25,40,5,45600,30.9703947368421,9,9,29475,32.5521628498728,5
78,"male",63,40,8,66795,37.9000673703122,5,3,43200,28.3229166666667,3.25
82,"male",28,40,1,112455,32.2458316659997,8,7,40590,17.1855136733186,4.25
86,"male",38,40,3,56925,33.798418972332,8,8,27690,17.6511375947996,4.75
96,"male",25,40,6,74400,42.570564516129,5,4,27450,21.8360655737705,2.5
98,"female",29,40,7,70950,35.9598308668076,8,7,51345,5.21443178498393,4
100,"male",27,40,3,68295,32.3520755545794,5,5,46050,29.2312703583062,4.5
144,"female",35,40,9,38175,37.8880157170923,5,5,32250,12.5813953488372,4.25
170,"male",25,40,1,27180,31.0993377483444,9,9,35850,31.9707112970711,4.75
175,"female",34,40,5,48885,27.8659097882786,9,9,29355,23.5293817066939,5
177,"female",34,40,6,55605,36.0202319935258,7,7,52140,20.349252013809,4.25
189,"male",51,40,5,46275,33.3273905996759,7,7,94050,35.1594896331738,4.25
204,"male",31,40,9,72150,36.9230769230769,1,1,99000,26.5833333333333,1
223,"female",45,40,4,53700,37.9469273743017,8,7,62415,26.4645517904349,4.25
224,"female",25,40,4,45750,20.8393442622951,5,6,95115,25.1078694212269,3.5
232,"male",26,40,3,54090,35.4559068219634,9,9,53475,23.1907433380084,4.75
240,"male",28,40,5,43230,34.1054823039556,7,7,48150,10.7757009345794,4.25
244,"female",32,40,2,51570,42.2524723676556,7,7,28500,18.4263157894737,4.25
248,"female",52,40,1,69150,41.0845986984816,2,2,51225,33.0937042459737,5.5
280,"male",28,40,2,54630,42.2932454695223,8,8,44865,33.3764627214978,4.5
296,"female",31,40,4,72990,32.0250719276613,9,9,39195,20.3517030233448,4.25
89,"male",28,42,3,44835,30.5001672800268,6,6,51060,22.3678025851939,3.25
234,"male",34,42,9,48660,48.0086313193588,3,5,27900,21.4623655913978,1.25
303,"female",47,43,NA,47730,38.7624135763671,5,5,33315,19.7879333633498,3.75
55,"female",28,44,5,41325,38.2558983666062,7,7,139785,21.5049898057732,5.5
163,"female",31,44,5,78615,30.4634611715321,7,7,71595,29.6834276136602,4.75
80,"female",44,45,3,64800,41.3194444444444,3,4,44895,13.6782492482459,4.5
84,"female",28,45,6,108915,30.2546481200936,5,5,65550,23.5858123569794,2.75
102,"female",49,45,1,73500,24.2632653061224,9,9,38295,35.0485703094399,5.25
184,"female",54,45,3,65175,35.9298043728424,8,8,50100,16.311377245509,4.5
192,"female",30,45,5,29865,24.4344550477147,9,9,38100,22.2716535433071,4.5
217,"male",36,45,1,46875,41.1664,9,9,33825,22.2328159645233,6
284,"male",38,45,4,60975,44.8154981549816,7,8,41535,17.9577464788732,4
285,"female",29,45,3,68100,37.0330396475771,9,9,30105,29.6995515695067,5.75
196,"male",49,45.9,2,64245,37.6766285314032,9,9,30045,30.7983025461807,5.25
120,"male",29,46,2,42525,56.5414462081129,9,9,12000,2,5.25
