"iid","pid","gender","age","date_like","other_like","date_want","other_want","match","self_attr","self_sinc","self_intel","self_fun","self_amb","other_attr","other_sinc","other_intel","other_fun","other_amb","other_shar","date_attr","date_sinc","date_intel","date_fun","date_amb","date_shar","self_imp_attr","self_imp_sinc","self_imp_intel","self_imp_fun","self_imp_amb","self_imp_shar","other_imp_attr","other_imp_sinc","other_imp_intel","other_imp_fun","other_imp_amb","other_imp_shar"
132,137,"female",27,8,7,0,1,0,8,10,9,10,10,8,8,9,8,9,7,7,9,7,9,6,9,16.67,16.67,16.67,16.67,16.67,16.67,17.39,17.39,15.22,17.39,13.04,19.57
132,138,"female",27,8,8,0,1,0,8,10,9,10,10,8,7,4,6,6,4,8,8,8,8,8,8,16.67,16.67,16.67,16.67,16.67,16.67,20,20,20,20,6.67,13.33
132,139,"female",27,5,8,0,1,0,8,10,9,10,10,8,NA,8,8,7,NA,5,7,9,5,9,5,16.67,16.67,16.67,16.67,16.67,16.67,18.75,16.67,18.75,20.83,12.5,12.5
132,140,"female",27,9,7,1,1,1,8,10,9,10,10,7,7,7,7,7,7,8,9,9,9,9,8,16.67,16.67,16.67,16.67,16.67,16.67,18.6,16.28,18.6,18.6,11.63,16.28
132,141,"female",27,7,7,0,1,0,8,10,9,10,10,8,7,7,7,7,8,5,8,8,8,7,7,16.67,16.67,16.67,16.67,16.67,16.67,20.83,20.83,16.67,16.67,6.25,18.75
133,137,"female",24,7,7,0,0,0,6,8,8,7,7,6,10,10,6,7,5,7,7,7,8,6,8,12.77,19.15,17.02,17.02,14.89,19.15,17.39,17.39,15.22,17.39,13.04,19.57
133,138,"female",24,6,1,0,0,0,6,8,8,7,7,3,8,8,9,8,1,7,6,8,7,8,6,12.77,19.15,17.02,17.02,14.89,19.15,20,20,20,20,6.67,13.33
133,139,"female",24,7,6,0,1,0,6,8,8,7,7,6,8,10,6,8,NA,6,5,5,6,6,7,12.77,19.15,17.02,17.02,14.89,19.15,18.75,16.67,18.75,20.83,12.5,12.5
133,140,"female",24,7,6,0,0,0,6,8,8,7,7,5,9,8,6,8,6,8,7,7,8,8,7,12.77,19.15,17.02,17.02,14.89,19.15,18.6,16.28,18.6,18.6,11.63,16.28
133,141,"female",24,5,8,0,1,0,6,8,8,7,7,6,10,9,9,6,5,5,6,5,7,5,6,12.77,19.15,17.02,17.02,14.89,19.15,20.83,20.83,16.67,16.67,6.25,18.75
134,137,"female",23,9,9,1,1,1,7,8,8,8,8,9,9,9,8,8,7,8,9,7,9,10,8,6.67,20,20,17.78,20,15.56,17.39,17.39,15.22,17.39,13.04,19.57
134,138,"female",23,7,1,1,0,0,7,8,8,8,8,3,8,8,2,7,1,7,8,9,8,7,8,6.67,20,20,17.78,20,15.56,20,20,20,20,6.67,13.33
134,139,"female",23,6,7,0,1,0,7,8,8,8,8,7,9,9,7,6,NA,7,7,8,5,8,5,6.67,20,20,17.78,20,15.56,18.75,16.67,18.75,20.83,12.5,12.5
134,140,"female",23,8,6.5,1,0,0,7,8,8,8,8,6.5,8,7.5,7,7,NA,8,9,9,9,10,7,6.67,20,20,17.78,20,15.56,18.6,16.28,18.6,18.6,11.63,16.28
134,141,"female",23,5,7,0,1,0,7,8,8,8,8,7,8,8,7,6,5,6,5,6,5,6,4,6.67,20,20,17.78,20,15.56,20.83,20.83,16.67,16.67,6.25,18.75
135,137,"female",26,6,7,0,1,0,9,10,9,7,6,7,8,8,7,7,6,8,5,NA,NA,NA,5,18.18,22.73,18.18,13.64,13.64,13.64,17.39,17.39,15.22,17.39,13.04,19.57
135,138,"female",26,7,1,1,0,0,9,10,9,7,6,4,6,6,1,7,1,8,8,8,NA,NA,2,18.18,22.73,18.18,13.64,13.64,13.64,20,20,20,20,6.67,13.33
135,139,"female",26,6,6,1,0,0,9,10,9,7,6,6,NA,NA,6,5,NA,7,8,NA,8,4,6,18.18,22.73,18.18,13.64,13.64,13.64,18.75,16.67,18.75,20.83,12.5,12.5
135,140,"female",26,8,7,1,1,1,9,10,9,7,6,6.5,8,8,7,7,7,8,8,8,8,NA,NA,18.18,22.73,18.18,13.64,13.64,13.64,18.6,16.28,18.6,18.6,11.63,16.28
135,141,"female",26,6,8,1,1,1,9,10,9,7,6,8,9,8,8,6,5,7,NA,NA,8,8,NA,18.18,22.73,18.18,13.64,13.64,13.64,20.83,20.83,16.67,16.67,6.25,18.75
136,137,"female",NA,8,8,0,1,0,NA,NA,NA,NA,NA,6,8,9,7,9,6,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,17.39,17.39,15.22,17.39,13.04,19.57
136,138,"female",NA,10,9,1,1,1,NA,NA,NA,NA,NA,7,8,10,9,9,8,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,20,20,20,20,6.67,13.33
136,139,"female",NA,5,8,0,1,0,NA,NA,NA,NA,NA,8,8,NA,8,8,NA,3,8,8,5,8,1,NA,NA,NA,NA,NA,NA,18.75,16.67,18.75,20.83,12.5,12.5
136,140,"female",NA,8,6.5,0,0,0,NA,NA,NA,NA,NA,5,5,6,8,6,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,18.6,16.28,18.6,18.6,11.63,16.28
